NO,시군구,계약년월,거래금액(만원),기간,금값(1g)
444,서울특별시 송파구 잠실동,201906,170000,202010,68462
445,서울특별시 송파구 잠실동,201906,108500,202010,68796
446,서울특별시 송파구 거여동,201906,84000,202011,68915
447,서울특별시 송파구 신천동,201906,139000,202011,69098
448,서울특별시 송파구 신천동,201906,189500,202011,69694
449,서울특별시 송파구 문정동,201906,148000,202011,69452
450,서울특별시 송파구 석촌동,201906,49000,202011,70308
451,서울특별시 송파구 잠실동,201906,160000,202011,70542
452,서울특별시 송파구 장지동,201906,74600,202011,70225
453,서울특별시 송파구 장지동,201906,90000,202011,67745
454,서울특별시 송파구 잠실동,201906,145000,202011,67188
455,서울특별시 송파구 잠실동,201906,146500,202011,67121
456,서울특별시 송파구 거여동,201906,51300,202011,67365
457,서울특별시 송파구 가락동,201906,67000,202011,67387
458,서울특별시 송파구 방이동,201906,140000,202011,67499
459,서울특별시 송파구 문정동,201906,151000,202011,67268
460,서울특별시 송파구 잠실동,201906,159000,202011,66877
461,서울특별시 송파구 풍납동,201906,88000,202011,66893
462,서울특별시 송파구 방이동,201906,132200,202011,67134
463,서울특별시 송파구 송파동,201906,107000,202011,67193
464,서울특별시 송파구 문정동,201906,133000,202011,67088
465,서울특별시 송파구 신천동,201906,141500,202011,65411
466,서울특별시 송파구 오금동,201906,109000,202011,64525
467,서울특별시 송파구 잠실동,201906,94000,202011,64621
468,서울특별시 송파구 잠실동,201906,185560,202011,64424
469,서울특별시 송파구 가락동,201906,82000,202011,63715
470,서울특별시 송파구 마천동,201906,48000,202011,63516
471,서울특별시 송파구 방이동,201906,80500,202012,63883
472,서울특별시 송파구 잠실동,201906,157000,202012,64398
473,서울특별시 송파구 문정동,201906,64500,202012,64970
474,서울특별시 송파구 풍납동,201906,74200,202012,64194
475,서울특별시 송파구 풍납동,201906,90000,202012,64156
476,서울특별시 송파구 방이동,201906,80000,202012,64139
477,서울특별시 송파구 신천동,201906,144000,202012,65230
478,서울특별시 송파구 잠실동,201906,217250,202012,65010
479,서울특별시 송파구 문정동,201906,143000,202012,64529
480,서울특별시 송파구 오금동,201906,55800,202012,64512
481,서울특별시 송파구 잠실동,201906,148500,202012,64686
482,서울특별시 송파구 방이동,201906,215000,202012,64491
483,서울특별시 송파구 송파동,201906,126500,202012,64979
484,서울특별시 송파구 잠실동,201906,140000,202012,65306
485,서울특별시 송파구 가락동,201906,18000,202012,65978
486,서울특별시 송파구 거여동,201906,88500,202012,66464
487,서울특별시 송파구 송파동,201906,105500,202012,66606
